nodeID,xcoord,ycoord,floor,building,nodeType,longName,Short Name,teamAssigned
GELEV00QF1,1648,2161,F1,Shapiro,ELEV,Elevator Q,GELEV00Q01,F
GELEV00QF2,1628,2102,F2,Shapiro,ELEV,Elevator Q,GELEV00Q02,F
GELEV00QF3,1628,2142,F3,Shapiro,ELEV,Elevator Q,GELEV00Q03,F
GELEV00QL1,1637,2116,L1,Shapiro,ELEV,Elevator Q,GELEV00QL1,F
GELEV00QL2,1625,2089,L2,Shapiro,ELEV,Elevator Q,GELEV00QL2,F
WELEV00EF1,3265,830,F1,45 Francis,ELEV,Elevator E,WELEV00E01,F
WELEV00EF2,3235,880,F2,45 Francis,ELEV,Elevator E,WELEV00E02,F
WELEV00FF1,3050,980,F1,45 Francis,ELEV,Elevator F,WELEV00F01,F
WELEV00FF2,3075,960,F2,45 Francis,ELEV,Elevator F,WELEV00F02,F
WELEV00GF1,2935,900,F1,45 Francis,ELEV,Elevator G,WELEV00G01,F
WELEV00GF2,2945,870,F2,45 Francis,ELEV,Elevator G,WELEV00G02,F
WELEV00HF1,2735,1070,F1,45 Francis,ELEV,Elevator H,WELEV00H01,F
WELEV00HF2,2725,1065,F2,45 Francis,ELEV,Elevator H,WELEV00H02,F
WELEV00HF3,2715,1075,F3,45 Francis,ELEV,Elevator H,WELEV00H03,F
WELEV00HL1,2715,1070,L1,45 Francis,ELEV,Elevator H,WELEV00HL1,F
WELEV00JF1,2385,810,F1,45 Francis,ELEV,Elevator J,WELEV00J01,F
WELEV00JF2,2385,800,F2,45 Francis,ELEV,Elevator J,WELEV00J02,F
WELEV00JF3,2365,800,F3,45 Francis,ELEV,Elevator J,WELEV00J03,F
WELEV00JL1,2360,799,L1,45 Francis,ELEV,Elevator J,WELEV00JL1,F
WELEV00JL2,2360,804,L2,45 Francis,ELEV,Elevator J,WELEV00JL2,F
WELEV00KF1,2240,985,F1,45 Francis,ELEV,Elevator K,WELEV00K01,F
WELEV00KF2,2240,965,F2,45 Francis,ELEV,Elevator K,WELEV00K02,F
WELEV00KF3,2220,985,F3,45 Francis,ELEV,Elevator K,WELEV00K03,F
WELEV00KL1,2220,974,L1,45 Francis,ELEV,Elevator K,WELEV00KL1,F
WELEV00KL2,2215,974,L2,45 Francis,ELEV,Elevator K,WELEV00KL2,F
WELEV00LF1,1810,930,F1,Tower,ELEV,Elevator L,WELEV00L01,F
WELEV00LF2,1805,925,F2,Tower,ELEV,Elevator L,WELEV00L02,F
WELEV00LF3,1790,925,F3,Tower,ELEV,Elevator L,WELEV00L03,F
